    Ret       0        5       10       15       20       25       30       35       40       45       50       55       60       65       70       75       80       85       90       95      100      105      110      115      120      125      130      135      140      145      150      155      160      165      170      175      180      185      190      195      200      205      210      215      220      225      230      235      240      245      250      255      260      265      270      275      280      285      290      295      300      305      310      315      320      325      330      335      340      345      350      355      360   
    161    19.227   18.364   23.869   22.217   19.656   22.714   18.803   19.926   27.285   21.871   22.720   23.714   23.147   30.218   27.448   20.768   24.171   25.708   22.483   28.683   30.776   25.800   30.944   31.304   25.322   29.494   31.984   25.008   25.670   32.262   28.637   24.236   27.452   28.842   33.182   23.581   28.588   30.889   26.787   26.519   28.301   27.974   21.940   24.770   27.906   25.156   21.575   28.356   30.056   24.776   23.266   27.224   29.781   23.426   21.028   24.542   27.675   28.562   24.778   20.543   23.601   27.949   28.747   26.969   24.088   25.094   34.034   25.461   31.695   24.467   26.997   27.474   32.669 
    166    29.421   26.084   31.906   31.428   23.898   27.588   26.880   22.906   33.372   34.075   30.568   20.643   31.635   41.689   37.082   29.121   27.779   35.366   30.156   31.753   37.799   33.997   33.595   39.192   34.259   32.574   38.667   36.871   30.837   34.574   38.713   34.182   29.083   34.934   37.539   33.959   30.555   35.594   34.796   28.781   31.651   34.637   28.337   26.273   33.090   32.880   25.486   29.539   34.987   34.444   27.230   31.656   36.925   32.354   28.718   27.039   31.351   35.721   33.924   29.820   26.754   27.562   33.333   36.270   35.530   31.843   29.832   33.586   37.066   32.133   28.061   32.796   38.859 
    171    40.918   42.695   40.069   41.259   32.772   28.830   30.049   30.987   40.584   52.504   51.003   56.193   36.683   33.122   41.802   42.136   34.460   42.120   42.559   36.154   44.920   45.684   38.698   42.849   46.963   39.952   40.889   46.579   43.903   37.348   42.338   47.414   39.769   36.645   43.428   44.376   36.352   37.717   43.724   38.512   34.005   40.009   40.471   33.131   35.369   41.246   38.004   33.661   37.652   43.397   39.719   35.072   38.997   40.640   40.700   36.304   35.062   35.906   41.557   46.358   41.628   34.954   31.894   36.624   42.498   45.387   41.006   34.408   42.065   45.822   39.574   36.615   46.021 
    176    43.940   51.679   44.970   45.117   41.485   29.104   26.877   37.244   43.374   41.897   53.437   48.218   50.220   49.693   40.647   49.150   46.854   43.149   53.592   49.489   43.583   53.705   53.982   44.324   52.219   54.276   46.260   48.327   56.378   52.679   44.906   49.050   54.770   49.178   41.292   50.942   50.482   44.572   46.215   50.755   43.386   41.423   48.891   48.730   40.071   42.042   49.153   46.374   37.395   44.927   50.334   46.309   38.356   41.343   49.827   51.266   50.429   42.799   39.124   41.302   42.063   48.459   48.987   41.613   40.239   50.276   52.615   45.274   41.072   53.742   55.168   47.477   47.276 
    181    63.465   55.651   64.983   64.625   63.828   65.960   65.275   64.721   60.536   48.801   57.467   61.584   49.571   57.367   56.854   47.146   58.719   55.779   47.983   55.292   60.632   49.713   61.213   63.949   49.996   56.283   60.623   54.165   52.228   59.344   61.063   51.568   55.951   64.619   64.442   48.709   56.834   64.844   51.591   51.038   60.670   55.092   45.906   53.982   59.761   52.577   47.935   56.071   56.122   49.409   47.768   54.662   58.335   51.456   45.412   48.210   52.853   57.745   57.552   52.210   44.804   45.324   50.826   58.026   55.229   45.917   52.039   61.081   57.943   49.663   53.019   63.054   66.753 
    186    66.500   65.809   63.444   70.972   76.451   69.832   70.605   65.375   62.442   66.984   60.848   61.313   67.961   59.642   61.279   63.190   56.746   62.628   61.601   55.437   61.294   68.620   60.114   65.895   67.379   60.372   61.830   68.198   62.885   56.461   64.894   66.420   60.452   53.938   61.558   66.609   62.089   62.939   70.124   64.765   59.644   67.829   66.407   56.889   61.801   69.078   62.703   54.188   61.236   67.693   61.737   53.696   57.606   62.939   65.262   57.382   52.194   54.068   58.073   61.924   61.732   59.352   54.404   53.153   61.772   64.056   56.148   55.657   65.185   67.670   57.234   54.717   74.246 
    191    68.158   68.112   68.748   70.659   69.003   70.984   77.579   66.771   68.344   68.801   73.611   64.836   69.893   72.491   61.731   67.482   71.383   59.526   65.443   71.836   62.265   68.939   74.295   64.052   68.194   73.345   68.710   65.343   74.093   71.653   61.475   65.282   69.535   72.514   60.273   65.232   70.005   59.913   61.061   70.598   69.419   61.153   70.723   72.753   65.851   64.654   69.624   73.093   65.590   65.081   68.558   73.349   66.705   59.864   61.746   67.788   70.667   69.953   60.282   55.786   60.875   69.033   74.226   65.324   56.198   64.091   71.758   70.968   59.760   65.500   76.849   90.000    0.000 
    196    70.481   71.911   65.677   73.428   70.820   63.658   71.516   74.196   69.395   72.926   70.553   70.711   69.317   70.007   72.700   67.548   69.923   72.821   67.867   68.548   71.060   66.168   69.567   69.507   70.716   70.752   72.118   70.070   68.147   71.718   70.480   71.931   66.354   70.616   73.311   67.312   67.626   72.263   68.709   66.516   68.906   69.767   61.708   65.473   73.058   70.434   65.140   70.590   70.489   68.680   63.563   71.073   69.819   71.896   68.778   65.679   71.173   70.834   71.745   70.485   65.255   64.055   69.179   71.413   72.076   67.385   63.957   74.775   74.130   65.929   67.327   76.791    0.000 
    201    61.757   70.339   65.122   62.889   67.822   66.845   59.472   68.762   69.778   64.558   69.673   71.662   69.918   70.429   69.999   72.936   69.677   71.538   71.341   70.891   70.363   70.309   69.524   65.045   66.661   70.825   69.175   66.638   70.267   69.878   69.180   67.877   70.705   69.498   71.246   72.064   68.595   69.164   71.200   69.131   69.298   69.640   72.447   69.242   67.002   72.379   72.589   66.824   71.399   69.986   72.293   66.352   69.549   68.548   68.683   70.979   69.415   68.020   66.537   65.158   67.143   68.155   67.077   69.111   71.812   67.395   70.664   68.274   69.431   69.579   70.563   90.000    0.000 
    206    58.593   59.195   67.522   57.113   71.927   68.474   56.903   59.253   69.052   61.735   64.182   68.863   65.409   68.807   69.812   65.058   70.894   69.440   67.858   71.232   66.236   67.042   70.059   69.479   63.919   68.255   70.712   70.664   65.758   63.468   69.764   67.013   63.251   69.051   69.815   68.380   65.475   69.486   70.141   65.702   67.172   69.268   66.715   66.487   67.942   66.984   69.191   70.965   65.378   70.200   68.603   69.288   68.035   69.584   68.958   65.564   67.218   67.574   69.554   71.040   64.851   59.366   58.188   63.106   68.356   56.233   57.542   63.180   62.799   61.818   61.869   72.389   90.000 
    211    62.679   54.629   57.437   61.424   47.770   59.517   61.896   54.271   54.997   61.366   55.525   59.136   59.774   52.978   63.114   62.445   53.654   63.438   64.804   51.524   54.310   57.318   48.576   56.883   59.586   48.341   57.472   66.406   66.583   62.154   62.541   67.105   60.721   60.388   64.828   65.053   55.684   60.413   63.070   60.174   57.631   65.814   63.883   58.248   65.474   68.645   60.934   55.400   63.542   65.456   64.678   56.936   64.117   65.978   68.825   64.460   55.950   58.420   63.507   66.242   67.833   63.447   56.115   53.837   58.207   66.768   60.257   57.110   59.107   57.545   47.362   48.709   60.810 
    216    54.420   55.505   42.211   56.794   52.074   43.995   57.309   60.130   48.404   55.552   51.537   48.303   56.827   45.361   48.263   56.698   45.016   47.867   49.658   41.030   40.068   50.534   44.609   45.477   55.313   47.576   47.082   59.285   60.926   54.699   50.016   60.572   58.447   46.438   54.936   61.275   54.087   47.820   55.708   57.903   48.665   59.812   60.717   52.911   52.964   62.103   60.460   48.185   48.424   58.113   62.963   49.821   48.592   57.862   63.371   60.084   53.398   48.222   48.080   55.222   60.183   61.649   58.420   56.555   49.513   56.262   51.457   52.311   46.437   52.048   40.756   33.423   43.658 
    221    38.732   46.379   37.573   41.072   48.770   34.724   40.572   49.396   45.868   43.287   49.554   39.649   48.388   44.534   36.529   46.966   43.495   32.547   37.564   38.253   27.979   39.223   42.576   37.029   49.497   50.452   42.375   45.889   52.519   51.212   43.510   47.685   56.106   47.902   43.154   51.771   50.740   41.008   42.308   51.390   46.149   43.174   53.497   45.018   37.661   43.282   48.781   44.235   37.323   42.455   51.267   50.518   43.666   43.021   51.262   56.621   53.154   49.098   39.850   38.057   41.505   51.617   53.695   53.635   54.757   48.849   41.407   44.614   40.077   37.729   38.683   43.021   36.899 
    226    28.231   29.452   35.000   27.154   31.015   36.789   26.256   33.742   41.326   35.786   40.109   37.658   34.267   40.900   32.708   31.512   40.113   29.978   25.536   34.602   32.145   25.899   34.566   37.221   34.597   43.904   43.347   31.986   38.849   45.483   42.268   34.973   42.084   46.286   41.188   36.213   45.500   38.960   34.320   40.423   44.742   36.140   37.924   43.633   35.365   28.693   35.457   43.323   40.669   32.782   39.348   42.195   46.423   39.613   35.027   40.674   46.004   49.564   45.054   36.366   30.788   28.306   31.377   31.778   29.729   36.556   36.190   38.238   37.588   23.727   30.423   42.364   41.068 
    231    24.614   17.316   17.259   18.281   14.712   20.464   22.189   16.398   25.199   29.047   24.874   34.749   28.048   24.765   32.196   24.676   20.747   26.082   24.203   16.282   22.373   22.853   23.419   33.954   34.082   25.409   32.919   32.183   25.117   28.755   37.188   33.487   26.096   31.032   35.933   25.818   27.935   36.959   30.768   24.368   33.212   36.772   32.037   31.307   37.542   33.136   28.246   28.907   34.621   36.557   34.173   30.752   28.696   36.095   38.396   31.263   26.831   26.539   31.403   35.931   36.156   31.878   31.442   37.756   25.409   28.481   27.939   26.699   26.622   23.730   24.341   27.201   32.598 
    236    12.753    9.868   11.155   -4.448   11.332   11.220    8.311   14.748   17.003   13.615   21.742   19.696   18.500   21.785   15.237   18.357   13.906    7.833    9.748   13.425    8.147   15.165   25.187   25.724   23.557   26.059   17.316   22.443   27.352   21.222   19.234   28.080   25.631   20.527   18.122   26.408   23.755   22.141   29.264   25.032   21.875   20.926   28.022   25.915   15.750   20.244   26.680   24.516   22.172   17.973   24.359   27.197   25.622   22.208   21.183   25.297   26.264   25.396   24.278   20.332   19.976   18.191   14.684   14.319   21.752   22.639   22.403   23.549   15.301   16.337   26.244   25.134   22.371 
    241     9.906    9.071    6.908    4.062    2.516   -5.107  -10.578   -9.058   -5.709    7.326   11.257    9.928   12.026    7.109    9.039   -4.026  -12.783   -8.512  -10.870   -6.766    5.658   14.482   16.071   16.191   18.490   14.239   12.950   14.318   13.960   13.995   17.888   16.660   13.420   15.232   14.699   12.968   14.471   20.041   18.209   15.606   17.488   16.845   18.233   14.459   17.460   19.312   16.897    9.904   16.552   16.495   18.517   14.469   12.640   15.525   19.896   19.143   16.415   14.347   13.786   15.085   15.558   16.394   13.707   13.683   17.712   18.322   14.493   12.493   11.374   14.655   15.027   12.860   15.862 
    246     8.505    3.968   -3.882   -4.331   -4.439   -8.457  -14.611  -11.678  -11.340   -2.950   -7.478   -7.752   -3.416   -0.924    1.626   -9.452  -15.876  -13.749  -12.034  -11.735   -5.650    4.618    6.538    9.040    7.563    5.817    8.112    3.344    6.840    7.060    5.954    8.258    7.359    6.802    5.226    8.868    8.318    6.319    6.275    6.682    8.464    4.832    6.490    6.703   10.795   10.107    7.716    5.893    2.321    9.582    7.798    7.545    7.866   10.392   12.434   10.077    7.555    7.875    9.761    7.426    7.464    9.778    3.900    7.255    9.932    6.252    5.901    5.791    3.832    6.437    7.394    7.964    7.310 
    251    -2.080   -7.381   -9.504   -9.421   -7.266  -11.713  -14.519  -14.997  -16.421   -8.742  -13.285  -11.216   -9.798   -7.666   -7.469  -19.642  -14.513  -15.696  -18.691  -14.816  -13.642   -5.458   -1.840   -0.540   -0.836   -3.747   -2.806   -1.366   -1.147   -0.843    0.327   -3.254   -4.846   -4.286   -7.962   -2.621   -3.454   -3.307   -9.379   -4.543    5.969   -6.941   -5.296   -5.072   -6.337   -1.874   -3.247   -5.990   -4.249   -3.018   -3.931   -2.583    3.111    3.064    3.270    3.716    1.266    1.222    3.798   -4.506   -4.800   -4.218   -1.477   -0.878   -2.943   -5.912   -3.928   -4.103   -3.940   -2.585   -0.687    1.896    3.131 
    256    -9.636  -17.961  -16.632  -13.670  -10.266  -13.493  -18.959  -19.735  -21.341  -19.571  -18.596  -21.328  -19.077  -20.117  -19.157  -28.236  -25.812  -21.061  -23.727  -21.068  -19.548  -10.680  -11.786  -11.150  -15.806  -12.155  -12.623  -11.983   -9.869  -11.973  -10.546   -9.558  -12.142  -15.676  -16.414  -12.363  -11.890  -14.191  -15.086  -11.598  -11.833  -14.170  -13.165  -13.732  -11.469  -11.830  -11.421  -11.202   -8.863   -8.442  -12.323  -11.463   -9.939  -10.111   -9.282   -9.401  -11.446   -9.401  -11.160  -13.488  -13.825  -12.534  -14.210   -7.818  -11.557  -17.085  -14.548  -14.073  -10.459   -9.237   -7.766   -3.391   -5.940 
    261    -7.106  -16.464   -9.753  -10.805  -11.635   -9.474  -15.752  -17.358  -17.039  -23.732  -18.859  -26.424  -23.198  -19.145  -23.574  -26.349  -28.461  -23.218  -25.430  -20.171  -18.546   -9.622  -11.429  -12.681  -15.380  -16.120  -15.713  -15.618  -16.799  -17.226  -13.431  -15.911  -16.780  -17.686  -19.189  -13.896  -16.107  -15.980  -16.689  -13.519  -15.272  -16.457  -16.524  -16.257  -14.302  -14.798  -19.122  -16.148  -13.572  -17.114  -13.994  -12.187  -11.963  -11.584  -11.588  -14.458  -15.962  -13.448  -14.415  -15.880   -6.967  -14.084  -18.180   -9.340  -13.345  -18.115  -19.419  -16.836   -9.292   -9.774   -9.245   -7.006   -7.975 
    266   -13.257  -17.027  -14.004  -18.123  -21.095  -18.729  -16.405  -17.130  -16.299  -21.053  -21.040  -26.174  -24.046  -24.308  -26.202  -28.922  -32.490  -27.084  -22.630  -19.061  -15.915  -11.357  -14.822  -12.556  -16.844  -16.246  -18.624  -18.238  -19.283  -16.535  -16.172  -16.038  -17.791  -17.902  -20.823  -18.433  -19.740  -19.139  -18.356  -15.398  -14.780  -17.074  -16.027  -18.021  -17.277  -15.336  -24.114  -20.949  -17.919  -20.392  -15.927  -14.816  -14.979  -14.675  -17.701  -18.301  -17.275  -18.333  -12.150  -29.572    0.000  -15.385  -18.800    0.000  -13.376  -19.998  -21.290  -15.340    0.000    0.000   -9.262  -12.739    0.000 
    271     0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 
    276     0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 
    281     0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 
    286     8.568    8.676    8.498    7.519    8.013    7.270    8.428    8.469    8.322    7.478    9.069    8.753   -7.810    7.934    8.363   -8.207   -7.702   -8.716   -7.618    9.650   -8.409   -8.181   -7.692    9.373   -8.631    9.934   -9.401   -7.602   -9.248    7.395   -9.153   -8.059   -8.234   -8.703   -8.832   -7.659   -7.222   -7.297   -7.042   -6.606   -7.103   -8.046   -7.717   -7.867  -11.343   -6.498  -11.101   -7.465   -8.248   -8.414   -7.706   -8.640   -7.286   -7.695   -7.862   -7.940   -7.429   -7.281   -8.236   -8.301   -8.329   -7.246   -7.623   -8.752   -9.977   -9.985   -9.180  -10.507  -10.218  -10.884   -9.792   -8.787   -9.278 
    291    -3.094   -2.358   -3.274   -3.233   -2.852   -2.478   -3.142   -2.568   -3.060   -2.940   -2.350   -2.747   -2.782   -2.408   -2.307   -2.532   -2.289   -2.242   -2.332   -1.901   -1.923   -2.163   -2.256   -1.747   -2.577   -2.023   -2.113   -2.210   -2.341   -2.351   -2.747   -2.248   -2.810   -2.626   -2.751   -2.718   -2.609   -2.517   -3.088   -2.516   -2.473   -2.956   -2.748   -3.066   -1.632   -3.789   -2.758   -2.482   -1.944   -2.729   -3.197   -2.348   -2.344   -2.829   -3.192   -3.346   -2.745   -2.150   -3.579   -4.014   -2.798   -2.490   -2.802   -3.998   -3.470   -2.945   -2.563   -2.975   -3.838   -3.032   -2.098   -1.709   -2.298 
    296    -1.535   -2.522   -2.329   -1.599   -2.425   -2.231   -1.772   -2.171   -1.871   -1.358   -2.019   -2.063   -1.381   -2.063   -1.906   -1.416   -1.856   -1.677   -1.582   -1.665   -1.997   -1.293   -1.804   -1.813   -1.716   -1.752   -2.122   -1.859   -1.502   -2.468   -2.246   -1.995   -1.946   -2.601   -2.835   -2.126   -2.842   -3.091   -2.618   -2.108   -3.014   -3.428   -2.678   -2.385   -3.314   -3.888   -3.046   -2.447   -3.446   -4.253   -3.439   -2.510   -3.482   -4.535   -3.788   -3.073   -3.223   -4.789   -5.139   -3.778   -2.723   -3.814   -5.045   -4.549   -3.368   -2.896   -4.024   -4.752   -4.238   -2.886   -2.298   -3.260   -4.129 
