    Ret       0        5       10       15       20       25       30       35       40       45       50       55       60       65       70       75       80       85       90       95      100      105      110      115      120      125      130      135      140      145      150      155      160      165      170      175      180      185      190      195      200      205      210      215      220      225      230      235      240      245      250      255      260      265      270      275      280      285      290      295      300      305      310      315      320      325      330      335      340      345      350      355      360   
     61   -25.735  -28.912  -25.108  -29.909  -24.364  -24.927  -32.996  -26.182  -31.185  -27.753  -30.364  -32.048  -28.474  -32.038  -31.045  -28.008  -30.828  -31.191  -29.399  -28.899  -32.075  -30.667  -24.590  -33.958  -30.858  -29.282  -32.791  -32.924  -32.907  -33.390  -33.014  -35.254  -39.769  -32.843  -31.857  -41.503  -41.353  -39.990  -43.477  -45.935  -39.713  -38.722  -34.329  -34.945  -37.844  -36.046  -33.508  -37.396  -37.306  -33.733  -33.732  -36.925  -35.633  -30.711  -33.080  -35.622  -33.500  -32.477  -34.358  -36.182  -34.827  -34.263  -32.767  -34.677  -36.801  -38.659  -36.731  -34.314  -37.492  -39.511  -38.828  -35.864  -33.535 
     66   -29.512  -34.307  -37.246  -29.361  -33.700  -30.988  -32.903  -36.449  -32.415  -41.567  -32.301  -37.951  -40.517  -33.431  -36.025  -41.365  -35.137  -35.509  -41.023  -38.667  -33.019  -40.013  -42.200  -33.384  -40.062  -37.798  -34.431  -43.912  -36.710  -36.447  -43.575  -37.954  -37.435  -46.758  -41.725  -41.050  -51.077  -55.578  -49.617  -49.856  -53.325  -52.141  -47.624  -39.785  -39.371  -46.609  -45.625  -37.283  -42.134  -48.414  -42.650  -38.658  -46.040  -45.209  -39.690  -35.616  -41.007  -46.484  -43.843  -39.664  -42.616  -46.762  -47.295  -42.136  -38.694  -42.549  -46.883  -48.792  -45.998  -40.773  -41.998  -45.486  -46.150 
     71   -41.959  -38.639  -40.453  -43.660  -31.043  -40.974  -44.865  -38.840  -46.671  -40.728  -49.323  -42.837  -43.837  -49.465  -45.628  -38.541  -49.204  -47.023  -39.046  -48.612  -49.181  -38.972  -44.785  -48.373  -39.385  -44.725  -47.883  -39.780  -48.578  -48.683  -42.404  -50.018  -54.528  -44.500  -48.839  -54.541  -51.137  -50.174  -64.838  -66.849  -57.030  -48.135  -52.534  -60.272  -54.627  -44.691  -50.543  -55.520  -49.920  -44.761  -52.684  -56.982  -49.699  -43.250  -51.739  -55.553  -49.404  -42.629  -52.498  -58.210  -53.126  -44.155  -46.413  -53.839  -56.526  -52.582  -44.256  -42.141  -54.805  -60.981  -57.158  -48.345  -43.620 
     76   -53.347  -43.554  -53.966  -42.407  -48.720  -54.279  -42.036  -53.056  -45.362  -55.257  -49.192  -49.388  -57.046  -49.793  -45.016  -51.942  -56.950  -43.601  -56.778  -56.336  -43.139  -53.829  -56.944  -43.919  -56.039  -56.780  -45.380  -57.378  -55.755  -45.607  -58.802  -59.651  -45.772  -60.237  -58.644  -48.194  -51.848  -67.358  -69.741  -54.974  -56.512  -63.537  -61.229  -51.792  -47.813  -59.254  -62.462  -50.499  -50.700  -65.105  -66.871  -55.232  -52.176  -66.749  -63.844  -52.165  -48.572  -58.536  -63.945  -62.428  -47.434  -55.783  -64.733  -66.198  -54.901  -46.637  -54.001  -59.258  -70.379  -63.275  -46.508  -49.512  -61.873 
     81   -57.737  -52.570  -64.172  -51.819  -62.679  -57.260  -52.974  -61.500  -52.877  -62.971  -56.320  -58.987  -64.330  -53.848  -56.733  -67.727  -57.284  -53.367  -66.046  -58.397  -52.876  -63.576  -59.964  -52.795  -63.205  -60.836  -55.407  -64.364  -58.597  -57.569  -65.764  -58.010  -55.688  -66.552  -64.731  -46.583  -59.954  -64.250  -56.916  -52.403  -65.073  -69.303  -58.423  -46.835  -58.444  -70.540  -64.292  -53.247  -61.143  -69.017  -65.379  -57.768  -70.639  -70.998  -67.376  -56.226  -65.405  -73.677  -73.341  -61.693  -57.919  -67.871  -73.538  -69.751  -55.718  -56.929  -66.538  -66.092  -70.594  -61.146  -51.847  -58.023  -70.207 
     86   -61.734  -60.374  -66.192  -57.859  -69.753  -61.309  -60.391  -71.822  -58.875  -66.919  -63.017  -65.084  -68.316  -59.845  -62.728  -68.836  -61.355  -59.724  -67.821  -62.424  -59.203  -70.137  -64.998  -61.091  -66.521  -64.934  -62.338  -67.736  -61.914  -64.063  -71.655  -64.155  -62.303  -71.980  -64.805  -58.684  -65.565  -64.495  -53.005  -51.993  -60.750  -70.177  -58.232  -50.011  -66.157  -72.663  -64.893  -61.740  -71.847  -74.193  -67.761  -64.351  -74.239  -76.021  -68.844  -64.097  -70.937  -76.532  -71.360  -66.501  -67.134  -76.185  -73.238  -69.570  -60.693  -65.501  -72.764  -78.479  -74.761  -59.718  -60.217  -77.027  -82.545 
     91   -65.289  -69.368  -69.952  -63.887  -77.417  -63.042  -68.431  -75.263  -62.507  -71.826  -67.405  -69.317  -73.327  -64.207  -69.070  -72.232  -64.421  -68.239  -72.338  -64.812  -67.767  -75.178  -73.102  -62.683  -69.006  -69.541  -63.661  -72.744  -66.571  -67.920  -75.649  -68.625  -68.058  -74.426  -70.898  -62.957  -72.885  -72.362  -58.939  -57.031  -67.402  -74.529  -62.308  -60.417  -72.527  -78.220  -66.023  -67.556  -74.678  -74.298  -72.517  -70.893  -77.376  -76.264  -74.147  -67.416  -73.313  -72.905  -76.113  -72.063  -68.970  -74.687  -71.938  -74.408  -68.536  -69.547  -74.242  -77.786  -75.974  -63.708  -67.131  -76.236  -78.533 
     96   -69.642  -72.629  -72.247  -67.933  -76.401  -67.958  -72.989  -75.867  -64.706  -75.036  -71.704  -69.834  -74.638  -67.979  -73.078  -71.748  -73.107  -70.146  -71.710  -69.856  -70.014  -70.931  -72.315  -65.424  -72.995  -70.575  -65.417  -70.792  -72.153  -68.988  -72.466  -72.874  -70.491  -72.086  -74.302  -70.009  -72.717  -72.192  -72.215  -62.569  -74.031  -74.966  -71.913  -66.713  -73.745  -76.328  -76.206  -69.006  -71.222  -74.912  -70.234  -70.845  -71.545  -68.907  -75.446  -69.284  -69.663  -72.887  -69.275  -75.282  -69.481  -72.399  -67.126  -73.037  -74.690  -70.475  -75.428  -75.502  -78.217  -71.066  -70.606  -74.609  -72.257 
    101   -72.294  -69.824  -71.304  -72.034  -69.281  -71.880  -73.579  -69.079  -69.243  -68.276  -70.593  -69.089  -70.521  -73.073  -70.904  -67.115  -77.960  -70.366  -65.733  -74.630  -70.917  -65.095  -69.974  -72.120  -68.790  -68.130  -70.439  -66.994  -69.720  -70.307  -65.705  -72.428  -69.927  -66.606  -71.116  -75.496  -71.739  -69.918  -72.567  -69.099  -70.622  -64.115  -73.443  -71.112  -72.721  -70.532  -73.497  -70.056  -72.474  -71.974  -69.232  -62.068  -70.116  -78.954  -74.413  -67.302  -72.939  -73.083  -78.348  -73.816  -73.923  -70.786  -67.197  -67.657  -76.231  -71.608  -72.385  -67.933  -71.635  -75.268  -70.194  -69.073  -65.967 
    106   -68.005  -64.583  -72.743  -68.188  -65.794  -70.925  -67.019  -70.525  -68.018  -65.382  -66.963  -64.285  -69.479  -69.612  -65.043  -67.647  -70.438  -67.130  -63.801  -73.818  -65.660  -60.680  -76.806  -68.281  -62.663  -71.306  -67.844  -60.059  -67.362  -66.826  -62.117  -68.978  -67.130  -61.995  -65.933  -69.747  -69.301  -64.553  -69.518  -67.150  -69.571  -59.609  -68.347  -69.688  -68.030  -63.975  -68.992  -69.055  -67.706  -61.850  -70.822  -67.249  -74.807  -72.624  -74.351  -71.395  -69.122  -63.497  -69.681  -73.092  -68.488  -71.882  -60.989  -55.781  -55.671  -54.169  -48.859  -53.355  -68.156  -67.162  -67.650  -61.894  -61.237 
