     aa       0        5       10       15       20       25       30       35       40       45       50       55       60       65       70       75       80       85       90       95      100      105      110      115      120      125      130      135      140      145      150      155      160      165      170      175      180      185      190      195      200      205      210      215      220      225      230      235      240      245      250      255      260      265      270      275      280      285      290      295      300      305      310      315      320      325      330      335      340      345      350      355      360   
    176    10.248    4.477   20.937   20.231   17.028   19.299    3.938   -4.573   -2.060    5.762   17.791   11.253    7.545   18.442   15.204   13.301   19.865   11.291   13.226   17.257   12.714    9.811   17.376   13.231    8.135   15.291   16.038    8.211   11.747   17.357   14.438    9.480   13.882   17.594   13.561    9.941   17.020   18.083    8.308   13.146   17.819   10.349   10.069   17.632   18.090    9.362   10.771   17.240   12.683    5.280    9.831   15.384   13.866    5.894    7.019   11.520   15.555   16.116   11.060    7.275    6.335   10.461   16.110   17.647   11.016    9.752   17.242   21.034   11.433   10.624   17.339   20.716   23.743 
    181    12.209    7.265   14.256   19.113   11.443   12.884    9.685    0.592    1.299    9.884    6.963   12.288   13.407   10.196   17.278   13.327   10.138   15.005   10.954    8.246   14.319   11.249    8.307   15.414   12.130    7.516   12.848   14.629    7.602    6.165   13.998   13.204    6.693    9.364   14.391   12.968    8.004   13.450   14.652    8.014   11.592   15.394   10.176    8.059   12.516   15.029    8.576    8.588   14.312   13.404    7.500    6.830   11.702   13.936    9.771    6.318    4.450    8.161   12.680   14.773   14.451    9.518    6.614    9.824   16.115   14.189    8.695   13.895   17.088   13.175    7.654   12.364   17.343 
    186     8.748   14.395    7.228   13.047   13.407    4.133    5.849    8.753    4.142    8.606    9.522    5.689   13.003   10.810   11.160   16.529    9.615    9.617   14.069   10.654    6.109   12.741    9.024    8.293   15.640   13.879    7.499   11.283   15.026    8.734    5.683   13.749   14.222    6.454    6.327   14.490   12.916    7.724   13.862   15.195    8.028    9.150   13.381   10.732    4.503    9.247   14.266    8.513    4.491    9.453   13.530   11.591    5.141    6.679   10.720   14.023   10.840    6.139    3.702    7.774   13.470   15.329   12.825    6.227    7.783   15.970   14.527    7.477    8.189   15.306   15.780   10.804   10.491 
    191     5.283   11.185   13.315    6.288   12.696   12.569    3.592    7.338   11.916    5.084    9.757   12.196    6.086   14.072   12.602    7.577   14.088   10.634    4.460   11.139    9.450    5.009   12.652   10.613    5.543   12.956   15.367    7.507    7.626   12.914   13.333    6.732    6.700   13.256   10.932    5.740   11.556   12.444    4.132    9.817   14.067    6.213    4.788   12.213   12.135    5.691    5.253   12.205   11.075    4.433    5.425   11.878   13.247    8.604    2.728    4.680    9.487   12.835   12.916    7.393    3.282    5.663    9.813   14.038   10.834    4.962    9.331   15.365   11.549    6.241   12.036   17.951    0.000 
    196    12.055    5.758   12.193   11.650    4.033    8.761   13.623    8.049    9.393   12.211    6.714   11.397   10.553    7.005   12.303   11.391    5.761   12.273   10.664    3.897   11.463    8.643    5.004   13.251   13.786    5.263    9.037   15.428    8.961    4.381   10.219   14.741    8.735    4.379   11.021   12.413    5.096    9.537   13.537    5.718    7.791   13.471    9.562    4.897    9.295   13.560    6.833    3.950    9.639   12.268    6.499    3.706    7.970   12.969   13.162    7.779    2.611    4.018   10.037   14.108   12.568    5.993    2.934    5.240   11.453   13.298    6.546    6.489   14.184   13.297    5.718    8.534    0.000 
    201    11.849   10.960    4.835   13.840   10.562    2.179   10.535   10.583    5.513   12.653   12.102    5.076   13.377    9.826    5.631   12.349    8.567    4.111    8.560    8.197    3.063   11.541    6.168    4.590   12.946   11.468    4.923    8.651   15.301   12.657    5.932    8.672   14.127    8.463    3.060   10.460   11.133    3.714    8.170   13.015    4.658    7.878   13.012   11.019    3.575    6.956   11.665    6.982    1.231    7.491   11.902    5.361    0.622    3.678    8.650   12.556   10.850    6.011    3.604    5.942    7.738   12.729   11.800    9.242    5.025    8.157   13.079    6.732    5.516   13.294   12.562   13.267    0.000 
    206     4.820   10.457    9.314    8.369   12.888    5.225    5.226    8.925    9.842    5.809   12.236    8.423    6.811   13.824    7.262    6.915   12.982    5.902    3.008   10.256    7.371    3.881   11.428    4.781    7.237   14.392   12.956    6.587    6.584   11.878   11.000    3.741    9.658   13.343    6.451    4.282   11.768    9.677    2.774    7.653   11.328    4.242    5.352   12.483    8.929    2.432    6.111   12.155    6.529    1.422    6.407   11.721    7.967    2.222    1.983    6.502   11.590   11.597    6.243    3.676    3.049    6.544   12.073   13.101    9.558    5.148    8.884   13.687    7.245    4.879   10.782   20.104   27.862 
    211     7.005    4.394   13.808    6.733    9.557   12.265    5.586    5.198   13.610    7.500    6.482   13.240    5.800   11.619   13.561    5.268    9.426   11.989    4.239    7.022   12.552    8.431   13.065   15.415    6.269   10.130   13.823   10.275    3.464    4.206   13.138    6.814    3.073   12.109   11.699    4.226    5.232   12.940    7.496    3.070   11.877    8.083    2.218    7.025   11.358    4.121    1.816    9.920   11.776    5.515    0.421    7.352   12.056    7.757    2.119    1.000    4.783   10.543   12.178    7.524    4.254    2.239    3.136    4.687    9.770   12.195    5.203   10.264   11.318    2.427    4.362   15.058   21.114 
    216    12.041    5.299   11.256   10.515    5.083   15.007    8.505    3.141    7.016   10.812    4.760   13.321    7.071    5.053   13.823    7.163    5.009   13.885    8.226    5.737   12.862   13.193    9.149   16.782    8.518    5.771   13.010   12.267    5.442    3.233   12.092   11.327    4.224    7.015   12.880    7.009    2.747    7.986   12.276    4.186    7.714   11.327    4.539    6.081   13.142    9.147    2.628    5.786   13.556   10.159    2.751    2.685   11.086   11.332    7.342    2.421    1.811    4.671   11.638   13.196   10.350    5.191    1.153    0.147    2.019    2.079    7.380    8.221   12.518    6.753    1.376    9.694   17.978 
    221    11.295   10.609    4.774   10.878    8.939    8.557   12.847    8.674    3.192   11.085    8.429    8.717   11.538    4.775    9.665   11.391    5.426   10.209   17.430    9.982   11.323   14.904    8.724    8.033   13.176    6.227    4.887   12.687   10.370    3.519    6.440   12.814    8.308    1.826    9.337   11.894    3.935    4.263    8.946    8.268    4.794   11.478    9.879    2.887    7.369   13.058   10.143    4.871    4.805    9.820    9.128    2.871    2.256    8.395   11.720    7.527    3.393    1.610    4.748   10.234   13.579   11.478    8.448    6.939    6.873    9.108    7.518    6.839    7.481   10.576    6.207    7.021    8.240 
    226     3.621   15.904    9.637    6.548   17.728    8.123    9.873   15.919    7.730    7.838   12.247    5.888   11.088   11.076    4.404   12.784   12.147   10.938   20.382   16.135    8.641   10.982   12.228    4.730   10.478   12.964    4.847    5.707   13.118    7.272    4.314    8.023   13.127    8.232    4.136   10.634    9.426    4.143    7.096   10.224    4.167    3.732   11.194    7.515    4.144   11.566   13.531    8.589    2.507    2.178   10.281   10.493    4.417    1.157    7.840   13.367   11.758    7.485    3.821    3.662    6.645   12.357    8.083    9.153   11.834    9.583    9.364    8.892    6.372    4.146    9.376   10.897    4.921 
    231    16.184    8.598   18.169   15.878   13.033   20.066   12.955   18.388   12.653   10.890   11.338   12.436    6.649   14.044    8.326    4.186   23.371   24.546   14.198   11.878   15.440    7.951    8.296   12.017    5.897   12.759   12.514    5.060    6.987   11.653    7.276    2.234    7.200   12.113    7.325    6.145   13.767    7.052    2.680   10.183   11.444    4.670    4.673   10.859    9.834    5.749    4.508   12.273   12.672    7.401    1.542    4.439    9.382   10.135    4.250    0.837    4.143   11.667   13.978   10.426    6.945    4.358    6.180    7.259    4.205   10.205    8.801    8.952    9.719    5.863    7.276    9.512   13.588 
    236    18.868   21.458   22.584  -27.584   29.543   24.340   36.558   26.522   16.906   16.477   16.816   10.266   16.810    9.573    8.645   19.276   34.152   43.045   32.674   22.161   13.713   10.205   14.257    7.009   10.053    9.140    6.980   10.679   10.500    5.159    9.408   11.616    6.741    2.722   10.253   10.874    7.993    9.291   12.296    8.342    3.128   10.543   10.938    8.725    8.362    9.829   12.460   10.722    5.041    5.214   11.281   11.590    6.983    5.795    5.671   10.785   12.146    8.911    6.809    2.663    4.866    7.966    1.771   -1.682    3.234    7.269    9.286    5.063    2.696   12.762   11.667    6.585    5.671 
    241    36.710   13.568   36.206   38.085   22.950  -21.835  -28.755  -34.022  -42.464   15.028   24.658   24.428   19.973   16.916   14.281  -43.377   -3.563  -25.330  -37.034  -34.530   29.472   15.419    7.580    5.190   10.966    7.031   12.173   11.805    7.338    7.314   10.474    7.355    1.240    9.428   10.491    9.169    6.671   12.124   10.309   12.825   13.643   17.029    8.153   11.762   15.863   12.363    9.514   13.864    7.552   13.863   12.663    7.860    6.146    9.324    8.722   12.849    9.397    3.834    2.461    8.752   12.706   13.130   11.161    4.998    7.998    7.599    2.330    0.411    3.092   13.915    7.823    8.092    7.859 
    246    31.171   30.557   -9.120    0.496   25.859  -12.466  -13.885  -18.894  -21.790  -26.323  -30.877  -41.160  -38.619  -19.342   36.088   -5.868  -12.520  -22.548  -22.938  -16.167  -25.105    2.874    7.221    4.534    9.839   19.522   18.416   18.184   22.873   18.723   14.934   12.044   12.210   23.119   13.881   12.008   18.131   25.233   37.613   27.216   25.015   44.887   21.728   37.052   14.167   14.333   27.969   32.187   34.998    4.806   17.551   16.948   14.944   15.261   12.819   12.175    9.566    8.688   15.573   24.545   27.112   20.489   -7.092    7.684    6.412   18.509    2.154  -10.063   12.508    9.203   19.671   22.419   12.995 
    251   -33.789  -15.137    7.546   -0.858    3.135   -9.804    0.019   -5.806  -11.758   12.886  -14.948   -9.875   -0.777    5.070    0.890    1.964  -12.463  -19.761   -9.602   -3.292    4.813   20.269   37.323   33.333   24.843   -4.832   -4.710  -10.477  -44.033  -30.377   33.520  -23.994  -13.161  -10.950   -7.157  -20.565  -44.151  -33.299  -13.444  -32.984   44.247  -33.716  -44.769  -25.953   -7.922  -43.656  -25.266   -4.910   -7.562   -5.277   -8.486  -28.932   30.537   33.952   32.336   17.899   20.681   37.530   41.875  -28.464  -18.885   10.929   22.397  -12.331  -31.689  -17.098   35.046   14.932    4.549   -7.074  -31.021   11.510    7.999 
    256     3.265    0.196    7.967    7.743    1.373   -6.389    1.340    0.958   -2.803    5.632   -2.948   -2.081    3.423    6.564    4.877    4.378    2.614   -5.418   -4.876   -3.076    6.079   10.506    9.334   10.525    1.670    7.566    8.690    4.848    2.644    1.240   -1.643    1.136    0.035    2.588    0.225   -4.886   -1.443   -4.965   -1.156   -0.244   -1.448   -3.577   -1.871    2.902   -5.956   -0.203    4.632    1.365    3.265    4.622   -0.195    3.997    0.821    0.108  -10.720   -7.946    1.767   -2.041   -2.781   -4.508   -2.895    3.107   -4.866   -1.648   -2.361   -0.651    6.176    5.126   13.733    6.191    3.089   -2.626   12.071 
    261   -19.592   -8.927   -0.629   -9.671  -21.417  -20.336   -7.127   -0.588   -5.376    1.547   -1.459   -2.754    8.860   -1.022   -3.605   -8.730   -4.369   -3.429   -4.412   -4.332    0.971    0.348   -0.091   -1.730   -2.332   -4.956   -1.832   -0.525   -2.035  -13.304   -8.260   -7.404   -6.687   -4.325   -5.993   -7.429   -2.687   -5.106   -7.407   -3.173  -13.418  -12.960   -8.975  -12.011  -10.265   -5.163    2.436   -1.037   -2.000    1.354   -0.450   -3.433   -6.871  -12.671  -15.625  -13.629   -9.778  -11.715  -15.873  -10.482  -20.554  -15.436  -25.226  -44.467  -12.648   -5.002   -6.922   -3.324   -7.237  -12.128   -8.962   -6.001  -17.894 
    266   -41.261  -32.093  -37.266  -38.054  -43.582  -42.697  -27.178  -23.096  -21.946  -17.443  -13.835  -15.580  -17.455  -13.715  -27.414  -30.912  -20.838  -21.030  -15.270  -17.600  -19.327  -27.401  -25.963  -23.732  -18.601  -22.956  -22.131  -22.712  -24.399  -18.941  -22.931  -22.127  -21.927  -29.413  -22.918  -25.643  -18.336  -25.297  -24.715  -28.074  -27.478  -31.103  -30.474  -28.130  -30.989  -18.079  -16.038  -19.330  -29.066  -21.544  -24.383  -24.769  -30.140  -31.000  -28.063  -28.806  -25.601  -26.573  -28.633   14.364    0.000  -30.053   -7.472    0.000  -21.862  -23.932  -26.285  -19.549    0.000    0.000  -30.360  -29.176    0.000 
    271     0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 
    276     0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 
    281     0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 
    286    32.144   31.615   42.108   38.218   36.155   36.897   33.280   41.399   42.597   40.566   40.265   43.081  -43.775   44.277   44.520  -41.745  -44.758  -42.165  -42.970   39.965  -34.170  -43.236  -40.831   44.895  -34.719   35.678  -31.369  -40.087  -33.257   44.554  -30.685  -42.683  -40.177  -36.826  -29.573  -37.513  -30.656  -31.649  -30.265  -31.341  -32.569  -32.374  -26.642  -38.910  -36.964  -30.767  -28.992  -22.388  -34.650  -23.887  -31.951  -27.080  -26.181  -24.362  -25.204  -23.860  -24.944  -24.397  -23.363  -23.613  -21.359  -20.834  -21.259  -25.561  -22.323  -25.050  -22.077  -23.935  -21.798  -21.501  -16.323  -18.267  -21.446 
    291    20.675   14.193    9.331   23.952   18.114   17.511   21.433   26.972   17.470   24.314   18.084   15.713   27.244   23.633   15.741   24.735   26.635   21.471   22.024   21.062   23.095   22.514   23.085   13.605   18.534   13.315   13.877   13.781   19.610   24.013   15.120   18.777   18.967   16.961   16.995   22.814   23.746   17.092   17.328   23.265   21.805   11.147   14.592   17.788    9.155    4.289    7.246   22.318   16.715    9.061   10.777   20.341   24.797    7.529    3.382   12.560   22.389    8.392    4.072    5.271   12.191   22.248    8.158    1.536    4.309   17.577   17.004    4.437    4.236    8.668   17.879   18.243    9.630 
    296    13.062   -7.046    0.324   11.117   -3.020    9.452   14.641   -5.080    2.728    7.465   -3.215    3.599    4.875   -8.522   -4.024   -6.227   -2.011   -8.161    3.734    0.264  -10.190   -1.254   -7.282  -11.591   -8.065   -6.915   -8.888  -10.724   -7.614   -4.419   -6.532   -4.146   -1.578  -10.417   -5.790   -3.100   -5.860   -4.186   -0.996   -5.673   -4.791   -8.197   -4.171   -3.771   -7.162  -11.300   -4.637   -2.315  -10.839   -5.878   -4.819   -2.241   -5.880  -10.189   -6.085    0.928   -6.302  -10.570   -5.289   -2.728   -3.304   -3.392   -7.439   -5.656    0.277    0.230  -10.135   -8.705   -2.662   -0.506   -6.602   -8.893   -8.709 
