     aa       0        5       10       15       20       25       30       35       40       45       50       55       60       65       70       75       80       85       90       95      100      105      110      115      120      125      130      135      140      145      150      155      160      165      170      175      180      185      190      195      200      205      210      215      220      225      230      235      240      245      250      255      260      265      270      275      280      285      290      295      300      305      310      315      320      325      330      335      340      345      350      355      360   
     61    -7.125  -10.198  -10.500   -8.403  -10.739  -10.494  -10.568   -9.034   -8.448  -11.081   -6.868  -11.455   -9.670   -8.852   -9.645  -10.705   -8.120   -9.201  -10.235   -9.018   -7.620   -9.991   -8.190   -8.722  -10.134   -5.906   -9.264  -10.367   -4.945   -6.449   -8.668   -3.886   -5.642   -8.730   -8.435   -5.261  -10.840   -8.856   -4.980   -8.501  -10.481  -11.371   -8.996   -7.113   -8.947  -10.128   -8.487   -6.890   -7.419   -8.500   -6.118   -7.114   -8.675   -8.630   -6.413   -6.338   -8.940   -8.243   -6.259   -7.546   -8.620  -10.777   -9.229   -7.645   -7.407  -10.769  -11.384  -11.244   -9.073   -8.818   -8.873  -10.540  -10.083 
     66   -14.872   -7.148  -10.788   -9.176   -9.729  -12.488   -5.180   -9.116   -6.530  -10.111   -9.500   -6.473  -10.948   -9.507   -5.932  -11.343  -11.050   -5.673   -8.671  -11.448   -7.574   -7.214   -9.463   -9.025   -7.200  -11.381   -6.312   -7.284   -8.919   -4.071   -4.512   -4.778    0.650   -2.734   -6.865   -7.698   -5.565   -8.590   -8.168   -5.192   -5.382   -8.913  -12.037  -11.478   -6.502   -6.145  -10.728   -8.628   -5.278   -6.953   -9.898   -7.274   -5.530   -8.665  -10.401   -8.241   -5.059   -8.150  -10.713   -9.278   -5.511   -7.183  -10.405  -11.881   -9.445   -7.369   -7.643  -10.131  -12.359   -9.156   -6.169   -6.313   -8.027 
     71    -2.131   -4.868   -8.031   -9.015   -8.659   -6.036   -8.125   -4.270   -8.648   -6.478   -7.699  -11.449   -4.337   -6.996  -11.724   -7.636   -5.140  -10.941   -8.305   -5.805   -9.225  -11.432   -4.914   -9.783   -8.988   -4.343  -10.200   -7.480   -4.361  -10.006   -6.110   -3.810   -8.405   -4.869   -1.911   -6.203  -11.734   -6.609   -4.740   -8.098   -9.563   -6.831   -6.579  -10.132  -12.750  -11.972   -5.841   -7.575  -11.617   -6.791   -3.235   -7.187  -11.691   -6.036   -3.688   -7.628  -12.142   -9.611   -3.808   -6.370  -11.968  -10.975   -4.605   -4.839   -7.696  -12.652  -12.344   -5.722   -4.092   -6.092  -11.251  -12.948   -9.157 
     76    -7.825   -9.157   -5.362   -9.830   -4.011   -9.422   -6.595   -4.554   -7.113   -2.116  -11.672   -3.494   -5.661  -11.282   -5.501   -3.559  -10.638   -8.207   -4.045  -11.002   -8.567   -2.667   -9.154  -10.018   -3.280  -10.685   -8.623   -4.626  -11.746   -6.919   -3.595  -10.910   -7.124   -1.989   -7.666   -8.669   -0.930   -6.592  -13.297  -11.037   -1.707   -3.974  -10.736  -14.751   -8.071   -3.024  -10.145  -14.433   -3.579   -3.351   -9.077  -11.267   -3.033   -5.384  -10.786  -12.492   -5.170   -2.958   -6.214  -13.300  -10.088   -3.001   -5.928  -10.581  -15.260   -8.931   -4.932   -4.690   -7.935  -14.160  -12.959   -4.990   -4.056 
     81   -10.074   -5.467   -7.273   -7.442   -3.859  -11.864   -3.153   -7.920   -4.767   -2.859  -11.995   -2.692   -8.777  -12.453   -3.073   -3.559  -11.139   -5.593   -5.370  -12.345   -4.374   -3.192  -11.373   -6.313   -3.485  -13.127   -4.135   -5.748  -12.785   -2.446   -5.982  -11.948   -2.270   -1.900  -11.801   -4.953   -0.622  -10.037  -16.193   -6.502   -2.273   -8.492  -14.486   -5.322   -1.609   -3.099  -13.380   -9.547   -2.142   -5.676  -12.202   -6.700   -2.479   -9.230  -13.714   -9.249   -2.196   -4.156  -10.123  -12.290   -6.254   -4.313   -9.084  -14.695  -12.015   -4.900   -3.265   -3.919  -10.384  -14.639   -7.327   -3.428   -3.601 
     86   -10.564   -3.888   -8.147   -5.601   -5.509  -10.876   -2.657   -9.135   -6.960   -2.624   -9.993   -3.328   -8.379  -11.163   -3.571   -6.001  -12.326   -4.498   -6.133  -12.033   -3.077   -5.226  -10.856  -11.063   -4.408  -11.645   -2.798   -6.057  -11.093   -2.573   -7.543  -11.329   -2.286   -5.139  -11.649   -3.339   -2.876  -11.925  -13.980   -6.046   -4.469   -9.366  -14.763   -6.109   -2.631   -6.598  -11.523   -5.460   -2.732   -7.160  -11.190   -5.139   -3.020  -10.528  -13.048   -8.581   -3.244   -6.114  -12.379  -12.532   -5.403   -5.138   -9.483  -14.618  -10.253   -4.283   -3.630   -9.023  -14.428  -12.557   -4.703   -2.378   -5.850 
     91   -11.158   -1.751   -8.452   -7.186   -6.496  -10.168   -3.281   -9.328   -5.562   -3.438   -8.071   -2.845   -8.126  -10.297   -2.098   -8.412  -12.241   -2.964   -5.302  -12.140   -4.229   -6.136  -11.145  -10.037   -5.102  -12.823   -4.375   -6.227  -11.105   -2.649   -7.457  -12.215   -2.642   -6.347  -12.135   -7.012   -3.311  -10.013  -13.595   -6.479   -4.821   -8.557  -13.978   -5.369   -2.817   -7.721  -13.008   -4.639   -2.057   -7.941   -9.959   -4.917   -4.435  -11.600  -15.159  -10.211   -3.402   -5.214  -12.780  -11.468   -4.567   -3.205   -9.752  -14.567  -12.529   -6.305   -3.303   -8.476  -15.445  -13.089   -5.147   -2.874   -6.169 
     96    -9.887   -1.442   -8.907   -6.332   -5.829  -10.063   -3.059   -8.151   -5.784   -3.994   -8.125   -2.130   -8.454   -9.770   -2.374   -8.406  -12.776   -4.814   -7.125  -13.102   -4.714   -5.094  -12.344   -8.518   -4.252  -11.982   -5.942   -4.465  -11.550   -4.539   -5.833  -12.232   -4.356   -4.304  -11.357   -9.830   -3.443   -7.788  -12.891   -9.528   -5.101   -9.962  -13.349   -7.484   -2.589   -7.113  -12.681   -5.009    0.242   -8.108  -10.939   -3.881   -4.758   -9.966  -15.453  -12.434   -4.221   -3.770   -8.476  -11.438   -4.927   -3.366   -6.670  -13.885  -14.576   -8.661   -3.840   -8.486  -14.402  -13.230   -7.127   -4.072   -7.706 
    101    -9.806   -1.351  -10.372   -4.849   -4.634   -9.499   -2.073   -9.087   -3.688   -3.892   -8.094   -0.138   -8.913   -9.225   -1.817   -9.030  -11.929   -3.296   -7.528  -12.847   -4.040   -6.766  -13.772   -5.642   -3.478  -11.960   -5.402   -3.950  -11.719   -6.754   -5.701  -13.163   -6.062   -4.779  -13.034  -12.012   -4.609   -5.470  -11.554   -9.475   -5.041  -10.646  -14.613   -9.372   -1.291   -7.071  -13.801   -7.664   -3.845  -10.108  -11.953   -3.552   -0.717   -8.186  -14.025  -10.284   -2.312   -1.735   -7.252  -10.827  -10.332   -6.242   -6.025  -11.910  -14.570   -8.775   -4.549   -8.645  -15.654  -13.551   -6.773   -4.122   -7.889 
    106    -7.671   -3.751  -11.144   -1.766   -9.344   -5.075   -3.059   -9.967   -1.689   -7.146   -4.597    2.079  -12.293   -7.860   -3.338  -12.111  -11.755   -2.325  -11.882  -10.841   -3.138  -10.709  -14.516   -9.404   -5.188  -13.516   -4.560   -5.539  -12.693   -6.318   -6.612  -12.901   -6.392   -6.189  -13.203  -11.796   -3.625   -8.064  -13.873   -7.042   -4.076  -12.093  -14.602   -9.276   -3.428  -10.082  -13.144   -6.035   -4.771  -11.440  -16.396   -5.195   -2.710  -10.671  -11.898   -5.846   -3.498   -6.013  -12.743  -11.850   -5.554   -1.103   -1.462  -14.643  -17.487   -9.944   -9.187  -14.646  -18.245  -14.305   -5.793   -6.411  -11.544 
    111    -5.291   -8.035   -7.586   -2.283  -10.027   -3.843   -5.956   -7.077   -2.781   -8.116   -3.119    1.382  -12.173   -6.835   -5.381  -13.571   -8.988   -5.500  -13.513   -8.925   -5.807  -13.593  -12.786   -7.279   -7.686  -11.615   -3.472   -7.892  -11.472   -5.197   -7.451  -12.330   -5.789   -6.986  -13.030   -9.504   -4.328  -10.771  -13.092   -6.483   -5.977  -12.517  -12.174   -6.674   -5.003  -11.508  -11.439   -5.903   -5.845  -12.565  -14.405   -9.487  -13.532  -11.129   -9.081   -4.236   -4.136  -10.421  -13.706  -12.327   -4.366   -5.600   -3.791   -5.125  -11.907  -10.091  -13.048  -20.016  -22.849  -21.378  -11.104  -11.467  -15.060 
    116    -3.066  -11.689   -5.199   -6.501   -9.649   -3.812  -10.039   -6.547   -5.086   -9.859   -2.961   -1.640  -10.706   -4.776   -9.842  -13.218   -6.457   -8.880  -13.735   -6.233   -8.046  -14.949  -10.065   -4.496  -12.555  -12.608   -5.624  -12.295  -11.490   -5.336  -11.205  -11.628   -5.204   -9.268  -14.550   -7.416   -5.948  -14.095  -11.875   -3.994   -8.024  -13.502   -8.180   -5.640  -10.437  -16.116   -9.971   -4.961  -11.356  -16.961  -12.078   -7.357  -14.533  -18.986  -10.816   -2.245   -6.777  -14.114  -14.261   -7.308   -2.677   -0.448   -3.451   -7.221   -8.694   -7.378  -14.257  -17.738  -16.043  -16.794  -14.683  -16.310  -17.282 
    121   -10.497   -9.415   -3.847  -12.677   -7.451   -8.212  -11.379   -4.795   -9.988   -6.755   -0.744   -6.791   -6.455   -5.839  -14.288  -10.247   -6.820  -16.174  -13.123   -5.972  -14.921  -14.113   -6.927  -11.847  -14.259   -7.453   -5.836  -13.568  -10.212   -7.060  -14.565  -10.204   -7.692  -14.723  -12.679   -5.921  -13.578  -14.451   -8.609   -5.514  -14.626  -12.275   -6.529  -10.340  -16.682  -13.856   -6.737  -10.979  -17.901  -13.774   -8.384  -12.972  -17.759  -17.327  -10.417  -13.499  -15.284  -13.881  -12.715   -5.832   -7.181   -8.013  -11.571   -8.497   -5.472   -9.707  -17.675  -15.444  -11.284  -11.884  -20.185  -21.780  -20.534 
    126   -12.576   -6.606   -7.911  -12.948   -7.458  -13.277   -9.437   -7.700  -11.842   -6.218   -5.663   -8.520   -3.164  -10.709  -13.351   -8.981  -12.851  -16.564  -10.024   -9.936  -16.891  -13.084  -10.610  -16.279  -13.321   -8.787  -15.422  -12.501   -7.942  -13.082  -14.306   -8.713  -15.566  -17.143  -10.022   -9.987  -16.527  -13.436   -9.928  -14.264  -14.652  -10.261   -7.488  -15.254  -15.169   -9.972  -10.486  -16.898  -16.187  -12.735  -11.978  -18.563  -15.877  -10.350  -10.672  -15.731  -16.069  -13.080  -10.048  -11.074  -11.013  -11.392   -9.599   -7.304  -10.812  -15.793  -14.430   -9.926  -11.407  -19.152  -24.673  -22.520  -18.869 
    131   -10.749   -5.551  -14.521  -11.009   -9.623  -14.366   -8.394  -12.451  -14.447   -9.791  -14.344  -10.122   -0.454  -14.283  -11.369   -9.454  -19.748  -17.078  -12.129  -18.065  -17.562  -12.688  -19.328  -19.465  -12.754  -17.184  -18.167  -12.247  -16.302  -20.927  -14.694  -11.847  -22.075  -16.664  -11.013  -17.805  -19.483  -12.911  -13.148  -19.260  -16.156  -11.571  -12.489  -18.242  -16.136  -11.051  -17.283  -19.507  -15.038  -11.824  -18.577  -19.533  -14.902  -12.553  -17.096  -18.832  -16.186  -13.008   -9.538  -10.580  -19.077  -13.890   -5.562   -1.446   -9.488  -16.378  -15.496  -12.964  -16.741  -24.092  -22.859  -20.930  -18.748 
    136    -7.208  -12.444  -16.095   -7.496  -17.157  -15.418   -9.336  -18.297  -16.601  -10.244  -18.477  -12.248   -4.560  -16.251   -9.682  -17.724  -22.352  -17.762  -20.490  -24.874  -20.489  -17.654  -26.178  -22.458  -18.862  -24.460  -18.797  -16.209  -25.365  -21.764  -15.483  -21.152  -23.989  -20.306  -13.183  -22.991  -21.348  -14.337  -20.204  -22.444  -17.223  -11.696  -19.748  -22.492  -20.001  -15.702  -24.566  -21.040  -15.837  -17.109  -24.117  -20.944  -15.419  -17.294  -21.615  -20.167  -16.956  -13.777  -16.132  -19.588  -21.400  -18.592  -12.051   -9.124  -21.948  -23.891  -18.709  -17.936  -24.422  -27.425  -25.349  -23.317  -22.375 
    141   -12.925  -19.705  -15.475  -15.045  -20.569  -20.056  -14.572  -22.793  -21.783  -21.660  -21.767  -17.817  -15.392  -18.220  -16.674  -23.328  -24.715  -23.311  -28.639  -28.775  -25.861  -32.564  -29.911  -27.266  -29.930  -30.278  -25.752  -28.650  -31.784  -26.663  -28.833  -31.921  -29.609  -25.023  -26.092  -30.114  -25.723  -24.088  -30.355  -27.191  -21.200  -21.774  -26.099  -24.509  -26.471  -25.795  -29.097  -28.212  -25.208  -29.503  -30.578  -26.196  -24.046  -26.824  -27.772  -25.633  -25.287  -27.657  -27.158  -29.597  -28.207  -24.794  -22.198  -24.366  -24.282  -25.668  -27.125  -27.753  -30.835  -31.636  -28.875  -27.753  -29.062 
    146   -23.389  -30.464  -22.908  -25.143  -31.402  -25.057  -22.638  -36.988  -29.090  -37.128  -36.504  -27.932  -30.697  -24.514  -20.507  -31.186  -28.761  -28.019  -37.519  -36.191  -33.916  -42.093  -40.984  -34.488  -42.701  -39.903  -34.567  -42.164  -43.033  -35.708  -38.280   44.266  -37.783  -34.387  -37.482  -43.246  -37.544  -33.349  -42.338  -37.218  -32.292  -31.928  -39.276  -37.210  -32.879  -39.287  -40.465  -35.703  -32.447  -40.928  -42.741  -35.557  -33.084  -40.896  -40.937  -37.402  -33.970  -35.013  -44.242  -41.711  -37.182  -32.250  -30.254  -36.404  -41.162  -33.632  -28.438  -31.669  -36.891  -41.015  -36.372  -31.313  -33.714 
    151   -41.370  -42.535  -36.909   42.437   42.951  -36.301   41.754   42.273  -39.787   30.852   38.785  -44.108   28.940  -42.315  -31.004  -43.102  -40.319  -40.006   40.386  -44.930  -44.534   34.937   41.018   42.864   34.920   39.043   42.748   35.199   35.950   41.755   38.394   34.081   39.721   43.425   38.805   34.405   41.792   44.304   38.033   37.986   44.768   44.069   36.147   41.594  -43.329   38.132   37.356   43.801  -43.867   34.599   35.573   40.815   43.866   30.474   32.450   40.599  -44.529   39.764   31.384   31.184   43.299  -43.868   44.119   35.707   33.133   40.060  -42.728  -38.305   41.451   39.496   44.114  -38.279  -40.289 
    156    34.301   28.427   33.723   30.041   33.167   32.313   26.417   27.877   33.346   20.276   26.138   30.779   15.561   33.667   38.461   33.240   37.826   39.361   32.293   31.822   34.608   26.921   30.129   32.802   26.620   27.976   32.357   27.112   27.206   30.106   28.179   23.428   28.224   28.500   34.089   24.786   31.334   32.760   30.200   27.978   34.240   32.275   25.620   29.695   35.500   29.511   28.644   32.709   34.351   26.910   26.328   30.383   32.656   22.534   19.759   24.576   33.319   32.695   23.304   21.327   27.896   32.973   34.326   31.150   27.645   26.938   31.381   41.146   35.143   32.235   34.199   36.587   42.541 
    161    24.575   15.449   20.092   26.636   17.649   19.418   26.278   13.463   18.860   17.110   13.958   22.421   12.263   18.891   31.247   22.447   20.222   31.399   21.953   20.198   29.154   21.726   18.771   26.728   20.786   16.703   24.669   26.717   17.973   19.259   27.956   22.631   17.120   20.046   20.644   19.209   17.398   26.144   28.025   18.133   20.670   29.109   21.797   16.687   27.341   30.868   19.869   19.829   27.114   27.849   17.267   15.897   22.558   23.646   15.213   13.580   16.169   25.773   25.741   21.178   14.012   18.071   24.482   29.397   28.845   26.766   25.557   23.937   32.164   25.886   22.748   24.575   32.463 
    166    14.583   14.514   14.395   24.103   17.280   12.284   15.812    9.354    8.866   14.190   20.449   15.627   -7.753   26.377   22.266   24.133   13.164   17.796   19.445   14.966   20.549   21.439   14.498   18.430   21.140   13.164   16.967   21.908   18.103   13.545   19.238   22.435   16.467   13.920   17.954   22.130   14.993   15.724   23.035   18.489   12.650   22.956   21.764   13.260   18.622   24.433   20.346   13.678   14.527   21.302   16.447    8.836   14.342   21.888   19.330   12.096    8.480   14.394   21.016   20.844   19.136   12.667   13.566   19.692   25.125   26.024   23.803   15.610   23.298   26.000   16.368   16.224   23.288 
    171     7.934   14.207   13.861   20.082   20.619   10.315    7.732    6.810   -1.117    9.492   19.696    8.510    3.919   22.862   14.093   20.737   13.106   10.342   16.869   13.076   11.082   18.612   16.036   10.524   17.849   16.062   10.082   15.590   19.202   13.870   10.967   18.436   19.351   12.017    9.687   18.528   17.685   10.886   15.868   19.220   11.221   13.557   20.283   17.713   10.553   15.307   20.122   14.402    7.944   13.898   17.722   10.015    7.794   13.113   17.559   17.764   14.362    8.034   10.503   13.100   15.618   20.148   15.655    9.343   13.621   19.514   23.166   13.828   14.218   20.961   20.449   11.506   15.749 
